Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating,Product ID,Promotion Flag,Promotion Details,Customer Age Group,Customer Loyalty Status,Current Stock Level,Restocking Date,Restocking Quantity,Stockout Indicator,Turnover Rate,Lead Time,Shelf Life,Temperature,Weather Condition,Weather Impact Indicator,Rolling Average Sales,Seasonality Index
750-67-8428,A,Yangon,Member,Female,Health and beauty,74.69,7,26.1415,548.9715,2019-01-05 00:00:00,13:08,Ewallet,522.83,4.761904762,26.1415,9.1,P001,Yes,10% off,18-24,Member,431,2019-01-06,148,No,High,4,22,96,Rainy,Yes,7.0,0.9467797997884037
226-31-3081,C,Naypyitaw,Normal,Female,Electronic accessories,15.28,5,3.82,80.22,2019-03-08 00:00:00,10:29,Cash,76.4,4.761904762,3.82,9.6,P002,No,N/A,18-24,Normal,321,2019-03-09,193,No,High,4,6,74,Rainy,Yes,6.0,1.114258375492078
631-41-3108,A,Yangon,Normal,Male,Home and lifestyle,46.33,7,16.2155,340.5255,2019-03-03 00:00:00,13:23,Credit card,324.31,4.761904762,16.2155,7.4,P003,No,N/A,18-24,Normal,946,2019-03-08,197,No,Low,4,29,87,Cloudy,No,6.333333333333333,0.9398128631923695
123-19-1176,A,Yangon,Member,Male,Health and beauty,58.22,8,23.288,489.048,2019-01-27 00:00:00,20:33,Ewallet,465.76,4.761904762,23.288,8.4,P001,No,N/A,25-34,Member,196,2019-02-01,55,No,High,1,25,76,Sunny,No,6.75,1.0506720132796916
373-73-7910,A,Yangon,Normal,Male,Sports and travel,86.31,7,30.2085,634.3785,2019-02-08 00:00:00,10:37,Ewallet,604.17,4.761904762,30.2085,5.3,P004,No,N/A,25-34,Normal,570,2019-02-09,179,No,High,3,13,76,Cloudy,No,6.8,0.9086228792837818
699-14-3026,C,Naypyitaw,Normal,Male,Electronic accessories,85.39,7,29.8865,627.6165,2019-03-25 00:00:00,18:30,Ewallet,597.73,4.761904762,29.8865,4.1,P002,No,N/A,25-34,Normal,279,2019-03-27,370,No,Medium,4,11,75,Cloudy,No,6.8,1.1558602891206509
355-53-5943,A,Yangon,Member,Female,Electronic accessories,68.84,6,20.652,433.692,2019-02-25 00:00:00,14:36,Ewallet,413.04,4.761904762,20.652,5.8,P002,No,N/A,25-34,Member,673,2019-02-27,400,No,Medium,4,20,55,Rainy,Yes,7.0,1.1427323168534393
315-22-5665,C,Naypyitaw,Normal,Female,Home and lifestyle,73.56,10,36.78,772.38,2019-02-24 00:00:00,11:38,Ewallet,735.6,4.761904762,36.78,8.0,P003,No,N/A,45-54,Normal,529,2019-03-02,156,No,Medium,1,26,93,Cloudy,No,7.6,0.9821356671628361
665-32-9167,A,Yangon,Member,Female,Health and beauty,36.26,2,3.626,76.146,2019-01-10 00:00:00,17:15,Credit card,72.52,4.761904762,3.626,7.2,P001,Yes,10% off,45-54,Member,731,2019-01-15,324,No,Medium,2,26,64,Snowy,Yes,6.4,0.8695957299074383
692-92-5582,B,Mandalay,Member,Female,Food and beverages,54.84,3,8.226,172.746,2019-02-20 00:00:00,13:27,Credit card,164.52,4.761904762,8.226,5.9,P005,No,N/A,18-24,Member,950,2019-02-21,204,No,High,4,11,95,Rainy,Yes,5.6,0.9269229011486847
351-62-0822,B,Mandalay,Member,Female,Fashion accessories,14.48,4,2.896,60.816,2019-02-06 00:00:00,18:07,Ewallet,57.92,4.761904762,2.896,4.5,P006,No,N/A,25-34,Member,154,2019-02-12,301,No,Low,4,8,52,Rainy,Yes,5.0,0.9036506778278106
529-56-3974,B,Mandalay,Member,Male,Electronic accessories,25.51,4,5.102,107.142,2019-03-09 00:00:00,17:03,Cash,102.04,4.761904762,5.102,6.8,P002,No,N/A,35-44,Member,424,2019-03-10,474,No,Medium,1,21,87,Sunny,No,4.6,1.1911768123891742
365-64-0515,A,Yangon,Normal,Female,Electronic accessories,46.95,5,11.7375,246.4875,2019-02-12 00:00:00,10:25,Ewallet,234.75,4.761904762,11.7375,7.1,P002,No,N/A,18-24,Normal,159,2019-02-15,254,No,Low,4,28,89,Snowy,Yes,3.6,0.8949948556738772
252-56-2699,A,Yangon,Normal,Male,Food and beverages,43.19,10,21.595,453.495,2019-02-07 00:00:00,16:48,Ewallet,431.9,4.761904762,21.595,8.2,P005,No,N/A,18-24,Normal,195,2019-02-12,147,No,Medium,1,29,64,Sunny,No,5.2,0.9559821900977888
829-34-3910,A,Yangon,Normal,Female,Health and beauty,71.38,10,35.69,749.49,2019-03-29 00:00:00,19:21,Cash,713.8,4.761904762,35.69,5.7,P001,Yes,10% off,25-34,Normal,372,2019-04-02,481,No,High,2,13,63,Cloudy,No,6.6,1.149462262624181
299-46-1805,B,Mandalay,Member,Female,Sports and travel,93.72,6,28.116,590.436,2019-01-15 00:00:00,16:19,Cash,562.32,4.761904762,28.116,4.5,P004,No,N/A,18-24,Member,902,2019-01-17,220,No,Medium,3,29,79,Snowy,Yes,7.0,0.9292968533872901
656-95-9349,A,Yangon,Member,Female,Health and beauty,68.93,7,24.1255,506.6355,2019-03-11 00:00:00,11:03,Credit card,482.51,4.761904762,24.1255,4.6,P001,No,N/A,25-34,Member,743,2019-03-15,165,No,Low,1,13,54,Cloudy,No,7.6,0.8442066570453288
765-26-6951,A,Yangon,Normal,Male,Sports and travel,72.61,6,21.783,457.443,2019-01-01 00:00:00,10:39,Credit card,435.66,4.761904762,21.783,6.9,P004,No,N/A,18-24,Normal,909,2019-01-04,119,No,High,4,17,91,Rainy,Yes,7.8,0.9553273480961526
329-62-1586,A,Yangon,Normal,Male,Food and beverages,54.67,3,8.2005,172.2105,2019-01-21 00:00:00,18:00,Credit card,164.01,4.761904762,8.2005,8.6,P005,Yes,10% off,35-44,Normal,562,2019-01-26,482,No,High,4,10,90,Snowy,Yes,6.4,1.1178651814297802
319-50-3348,B,Mandalay,Normal,Female,Home and lifestyle,40.3,2,4.03,84.63,2019-03-11 00:00:00,15:30,Ewallet,80.6,4.761904762,4.03,4.4,P003,Yes,10% off,45-54,Normal,733,2019-03-16,106,No,High,2,20,54,Sunny,No,4.8,1.0912570095444551
300-71-4605,C,Naypyitaw,Member,Male,Electronic accessories,86.04,5,21.51,451.71,2019-02-25 00:00:00,11:24,Ewallet,430.2,4.761904762,21.51,4.8,P002,No,N/A,18-24,Member,531,2019-02-27,268,No,Low,3,24,95,Rainy,Yes,4.6,0.8329425672983067
371-85-5789,B,Mandalay,Normal,Male,Health and beauty,87.98,3,13.197,277.137,2019-03-05 00:00:00,10:40,Ewallet,263.94,4.761904762,13.197,5.1,P001,No,N/A,25-34,Normal,835,2019-03-08,408,No,Medium,4,20,71,Cloudy,No,3.8,1.0915883727198061
273-16-6619,B,Mandalay,Normal,Male,Home and lifestyle,33.2,2,3.32,69.72,2019-03-15 00:00:00,12:20,Credit card,66.4,4.761904762,3.32,4.4,P003,No,N/A,25-34,Normal,441,2019-03-17,87,No,Medium,2,24,68,Rainy,Yes,3.0,1.091769717359682
636-48-8204,A,Yangon,Normal,Male,Electronic accessories,34.56,5,8.64,181.44,2019-02-17 00:00:00,11:15,Ewallet,172.8,4.761904762,8.64,9.9,P002,No,N/A,35-44,Normal,490,2019-02-22,378,No,Low,4,26,76,Rainy,Yes,3.4,1.0701631397792424
549-59-1358,A,Yangon,Member,Male,Sports and travel,88.63,3,13.2945,279.1845,2019-03-02 00:00:00,17:36,Ewallet,265.89,4.761904762,13.2945,6.0,P004,Yes,10% off,45-54,Member,786,2019-03-08,248,No,High,3,10,88,Cloudy,No,3.6,1.132644691420347
227-03-5010,A,Yangon,Member,Female,Home and lifestyle,52.59,8,21.036,441.756,2019-03-22 00:00:00,19:20,Credit card,420.72,4.761904762,21.036,8.5,P003,Yes,10% off,25-34,Member,587,2019-03-24,420,No,High,3,7,99,Snowy,Yes,4.2,0.8397057674371262
649-29-6775,B,Mandalay,Normal,Male,Fashion accessories,33.52,1,1.676,35.196,2019-02-08 00:00:00,15:31,Cash,33.52,4.761904762,1.676,6.7,P006,No,N/A,25-34,Normal,604,2019-02-14,187,No,Medium,2,17,99,Sunny,No,3.8,1.0475689580956484
